County-State,County,Population,Median household income,State Code,State
"Talladega County, Alabama",Talladega County,81437,35155,AL,Alabama
"Tallapoosa County, Alabama",Tallapoosa County,41153,39206,AL,Alabama
"Tuscaloosa County, Alabama",Tuscaloosa County,200458,46565,AL,Alabama
"Walker County, Alabama",Walker County,65923,35843,AL,Alabama
"Washington County, Alabama",Washington County,16997,42811,AL,Alabama
"Wilcox County, Alabama",Wilcox County,11235,23750,AL,Alabama
"Winston County, Alabama",Winston County,24130,33194,AL,Alabama
"Aleutians East Borough, Alaska",Aleutians East Borough,3304,61518,AK,Alaska
"Aleutians West Census Area, Alaska",Aleutians West Census Area,5684,84306,AK,Alaska
"Anchorage Municipality, Alaska",Anchorage Municipality,299107,78326,AK,Alaska
"Bethel Census Area, Alaska",Bethel Census Area,17776,51012,AK,Alaska
"Bristol Bay Borough, Alaska",Bristol Bay Borough,970,79750,AK,Alaska
"Denali Borough, Alaska",Denali Borough,2060,81544,AK,Alaska
"Dillingham Census Area, Alaska",Dillingham Census Area,4979,54173,AK,Alaska
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,99705,71068,AK,Alaska
"Haines Borough, Alaska",Haines Borough,2560,58750,AK,Alaska
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,2128,52419,AK,Alaska
"Juneau City and Borough, Alaska",Juneau City and Borough,32531,85746,AK,Alaska
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,57221,63684,AK,Alaska
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,13699,64222,AK,Alaska
"Kodiak Island Borough, Alaska",Kodiak Island Borough,13973,70887,AK,Alaska
"Kusilvak Census Area, Alaska",Kusilvak Census Area,7914,38229,AK,Alaska
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,1474,50781,AK,Alaska
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,96178,72983,AK,Alaska
"Nome Census Area, Alaska",Nome Census Area,9854,48868,AK,Alaska
"North Slope Borough, Alaska",North Slope Borough,9667,72576,AK,Alaska
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,7732,63648,AK,Alaska
"Petersburg Borough, Alaska",Petersburg Borough,3221,67935,AK,Alaska
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,6376,48523,AK,Alaska
"Sitka City and Borough, Alaska",Sitka City and Borough,8943,70376,AK,Alaska
"Skagway Municipality, Alaska",Skagway Municipality,999,69318,AK,Alaska
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,7029,62670,AK,Alaska
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,9617,78810,AK,Alaska
"Wrangell City and Borough, Alaska",Wrangell City and Borough,2387,48603,AK,Alaska
"Yakutat City and Borough, Alaska",Yakutat City and Borough,643,72500,AK,Alaska
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,5644,38491,AK,Alaska
"Apache County, Arizona",Apache County,72124,31757,AZ,Arizona
"Cochise County, Arizona",Cochise County,129647,45075,AZ,Arizona
"Coconino County, Arizona",Coconino County,136701,50234,AZ,Arizona
"Gila County, Arizona",Gila County,53165,39751,AZ,Arizona
"Graham County, Arizona",Graham County,37407,45964,AZ,Arizona
"Greenlee County, Arizona",Greenlee County,9023,51628,AZ,Arizona
"La Paz County, Arizona",La Paz County,20335,34466,AZ,Arizona
"Maricopa County, Arizona",Maricopa County,4018143,54229,AZ,Arizona
"Mohave County, Arizona",Mohave County,203362,38488,AZ,Arizona
"Navajo County, Arizona",Navajo County,107656,35921,AZ,Arizona
"Pima County, Arizona",Pima County,998537,46162,AZ,Arizona
"Pinal County, Arizona",Pinal County,389772,49477,AZ,Arizona
"Santa Cruz County, Arizona",Santa Cruz County,47073,40140,AZ,Arizona
"Yavapai County, Arizona",Yavapai County,215996,44748,AZ,Arizona
"Yuma County, Arizona",Yuma County,202987,40743,AZ,Arizona
"Arkansas County, Arkansas",Arkansas County,18731,36411,AR,Arkansas
"Ashley County, Arkansas",Ashley County,21229,34263,AR,Arkansas
"Baxter County, Arkansas",Baxter County,41040,35396,AR,Arkansas
"Benton County, Arkansas",Benton County,238198,56239,AR,Arkansas
"Boone County, Arkansas",Boone County,37227,39251,AR,Arkansas
"Bradley County, Arkansas",Bradley County,11206,33701,AR,Arkansas
"Calhoun County, Arkansas",Calhoun County,5245,36899,AR,Arkansas
"Carroll County, Arkansas",Carroll County,27635,36897,AR,Arkansas
"Chicot County, Arkansas",Chicot County,11353,28913,AR,Arkansas
"Clark County, Arkansas",Clark County,22751,35031,AR,Arkansas
"Clay County, Arkansas",Clay County,15400,32552,AR,Arkansas
"Cleburne County, Arkansas",Cleburne County,25711,42905,AR,Arkansas
"Cleveland County, Arkansas",Cleveland County,8510,43158,AR,Arkansas
"Columbia County, Arkansas",Columbia County,24327,36619,AR,Arkansas
"Conway County, Arkansas",Conway County,21110,37732,AR,Arkansas
"Craighead County, Arkansas",Craighead County,101409,42475,AR,Arkansas
"Crawford County, Arkansas",Crawford County,61748,41268,AR,Arkansas
"Crittenden County, Arkansas",Crittenden County,49765,38004,AR,Arkansas
"Cross County, Arkansas",Cross County,17467,38103,AR,Arkansas
"Dallas County, Arkansas",Dallas County,7868,34084,AR,Arkansas
"Desha County, Arkansas",Desha County,12379,27197,AR,Arkansas
"Drew County, Arkansas",Drew County,18740,32819,AR,Arkansas
"Faulkner County, Arkansas",Faulkner County,119343,51223,AR,Arkansas
"Franklin County, Arkansas",Franklin County,17866,39285,AR,Arkansas
"Fulton County, Arkansas",Fulton County,12224,37066,AR,Arkansas
"Garland County, Arkansas",Garland County,96954,38733,AR,Arkansas
"Grant County, Arkansas",Grant County,18054,46171,AR,Arkansas
"Greene County, Arkansas",Greene County,43382,41286,AR,Arkansas
"Hempstead County, Arkansas",Hempstead County,22336,32122,AR,Arkansas
"Hot Spring County, Arkansas",Hot Spring County,33316,40000,AR,Arkansas
"Howard County, Arkansas",Howard County,13555,34229,AR,Arkansas
"Independence County, Arkansas",Independence County,36952,36265,AR,Arkansas
"Izard County, Arkansas",Izard County,13480,32630,AR,Arkansas
"Jackson County, Arkansas",Jackson County,17597,31261,AR,Arkansas
"Jefferson County, Arkansas",Jefferson County,73548,36747,AR,Arkansas
"Johnson County, Arkansas",Johnson County,25930,34139,AR,Arkansas
"Lafayette County, Arkansas",Lafayette County,7270,31194,AR,Arkansas
"Lawrence County, Arkansas",Lawrence County,17029,32379,AR,Arkansas
"Lee County, Arkansas",Lee County,9966,28393,AR,Arkansas
"Lincoln County, Arkansas",Lincoln County,14062,32580,AR,Arkansas
"Little River County, Arkansas",Little River County,12720,36205,AR,Arkansas
"Logan County, Arkansas",Logan County,22001,35325,AR,Arkansas
"Lonoke County, Arkansas",Lonoke County,70691,53631,AR,Arkansas
"Madison County, Arkansas",Madison County,15702,37691,AR,Arkansas
"Marion County, Arkansas",Marion County,16458,34195,AR,Arkansas
"Miller County, Arkansas",Miller County,43652,40317,AR,Arkansas
"Mississippi County, Arkansas",Mississippi County,44864,34612,AR,Arkansas
"Monroe County, Arkansas",Monroe County,7713,27647,AR,Arkansas
"Montgomery County, Arkansas",Montgomery County,9197,33037,AR,Arkansas
"Nevada County, Arkansas",Nevada County,8793,30691,AR,Arkansas
"Newton County, Arkansas",Newton County,8052,34536,AR,Arkansas
"Ouachita County, Arkansas",Ouachita County,25044,31293,AR,Arkansas
"Perry County, Arkansas",Perry County,10300,42346,AR,Arkansas
"Phillips County, Arkansas",Phillips County,20391,26844,AR,Arkansas
"Pike County, Arkansas",Pike County,11087,33097,AR,Arkansas
"Poinsett County, Arkansas",Poinsett County,24210,33070,AR,Arkansas
"Polk County, Arkansas",Polk County,20364,33702,AR,Arkansas
"Pope County, Arkansas",Pope County,62830,39810,AR,Arkansas
"Prairie County, Arkansas",Prairie County,8402,35833,AR,Arkansas
"Pulaski County, Arkansas",Pulaski County,390463,46140,AR,Arkansas
"Randolph County, Arkansas",Randolph County,17695,34044,AR,Arkansas
"St. Francis County, Arkansas",St. Francis County,27345,32105,AR,Arkansas
"Saline County, Arkansas",Saline County,113833,55817,AR,Arkansas
"Scott County, Arkansas",Scott County,10870,37321,AR,Arkansas
"Searcy County, Arkansas",Searcy County,7965,33083,AR,Arkansas
"Sebastian County, Arkansas",Sebastian County,127273,38575,AR,Arkansas
"Sevier County, Arkansas",Sevier County,17268,36579,AR,Arkansas
"Sharp County, Arkansas",Sharp County,17055,30691,AR,Arkansas
"Stone County, Arkansas",Stone County,12512,29264,AR,Arkansas
"Union County, Arkansas",Union County,40633,38678,AR,Arkansas
"Van Buren County, Arkansas",Van Buren County,17002,32312,AR,Arkansas
"Washington County, Arkansas",Washington County,216432,43524,AR,Arkansas
"White County, Arkansas",White County,78660,42554,AR,Arkansas
"Woodruff County, Arkansas",Woodruff County,6983,28993,AR,Arkansas
"Yell County, Arkansas",Yell County,21835,37804,AR,Arkansas
"Alameda County, California",Alameda County,1584983,75619,CA,California
"Alpine County, California",Alpine County,1131,52917,CA,California
"Amador County, California",Amador County,36995,54171,CA,California
"Butte County, California",Butte County,222564,43444,CA,California
"Calaveras County, California",Calaveras County,44767,53233,CA,California
"Colusa County, California",Colusa County,21396,52168,CA,California
"Contra Costa County, California",Contra Costa County,1096068,80185,CA,California
"Del Norte County, California",Del Norte County,27788,40847,CA,California
"El Dorado County, California",El Dorado County,182093,69584,CA,California
"Fresno County, California",Fresno County,956749,45233,CA,California
"Glenn County, California",Glenn County,28029,39349,CA,California
"Humboldt County, California",Humboldt County,135034,42197,CA,California
"Imperial County, California",Imperial County,178206,41079,CA,California
"Inyo County, California",Inyo County,18373,45955,CA,California
"Kern County, California",Kern County,865736,49026,CA,California
"Kings County, California",Kings County,150998,46481,CA,California
"Lake County, California",Lake County,64158,35578,CA,California
"Lassen County, California",Lassen County,32645,51555,CA,California
"Los Angeles County, California",Los Angeles County,10038388,56196,CA,California
"Madera County, California",Madera County,153187,45073,CA,California
"Marin County, California",Marin County,258349,93257,CA,California
"Mariposa County, California",Mariposa County,17789,47681,CA,California
"Mendocino County, California",Mendocino County,87544,42980,CA,California
"Merced County, California",Merced County,263885,42462,CA,California
"Modoc County, California",Modoc County,9184,37860,CA,California
"Mono County, California",Mono County,14146,56944,CA,California
"Monterey County, California",Monterey County,428441,58783,CA,California
"Napa County, California",Napa County,140295,71379,CA,California
"Nevada County, California",Nevada County,98570,56521,CA,California
"Orange County, California",Orange County,3116069,76509,CA,California
"Placer County, California",Placer County,366280,73948,CA,California
"Plumas County, California",Plumas County,18966,47333,CA,California
"Riverside County, California",Riverside County,2298032,56603,CA,California
"Sacramento County, California",Sacramento County,1465832,55987,CA,California
"San Benito County, California",San Benito County,57557,71077,CA,California
"San Bernardino County, California",San Bernardino County,2094769,53433,CA,California
"San Diego County, California",San Diego County,3223096,64309,CA,California
"San Francisco County, California",San Francisco County,840763,81294,CA,California
"San Joaquin County, California",San Joaquin County,708554,53274,CA,California
"San Luis Obispo County, California",San Luis Obispo County,276517,60691,CA,California
"San Mateo County, California",San Mateo County,748731,93623,CA,California
"Santa Barbara County, California",Santa Barbara County,435850,63985,CA,California
"Santa Clara County, California",Santa Clara County,1868149,96310,CA,California
"Santa Cruz County, California",Santa Cruz County,269278,67256,CA,California
"Shasta County, California",Shasta County,178942,44620,CA,California
"Sierra County, California",Sierra County,3021,42833,CA,California
"Siskiyou County, California",Siskiyou County,43895,37170,CA,California
"Solano County, California",Solano County,425753,66828,CA,California
"Sonoma County, California",Sonoma County,495078,64240,CA,California
"Stanislaus County, California",Stanislaus County,527367,50125,CA,California
"Sutter County, California",Sutter County,95247,52017,CA,California
"Tehama County, California",Tehama County,63152,41001,CA,California
"Trinity County, California",Trinity County,13373,34974,CA,California
"Tulare County, California",Tulare County,454033,42031,CA,California
"Tuolumne County, California",Tuolumne County,54079,50306,CA,California
"Ventura County, California",Ventura County,840833,77348,CA,California
"Yolo County, California",Yolo County,207320,54989,CA,California
"Yuba County, California",Yuba County,73437,46892,CA,California
"Adams County, Colorado",Adams County,471206,58946,CO,Colorado
"Alamosa County, Colorado",Alamosa County,16269,32395,CO,Colorado
"Arapahoe County, Colorado",Arapahoe County,608310,63265,CO,Colorado
"Archuleta County, Colorado",Archuleta County,12174,46646,CO,Colorado
"Baca County, Colorado",Baca County,3701,38000,CO,Colorado
"Bent County, Colorado",Bent County,5895,36791,CO,Colorado
"Boulder County, Colorado",Boulder County,310032,70961,CO,Colorado
"Broomfield County, Colorado",Broomfield County,60699,81898,CO,Colorado
"Chaffee County, Colorado",Chaffee County,18309,51092,CO,Colorado
"Cheyenne County, Colorado",Cheyenne County,2002,52554,CO,Colorado
"Clear Creek County, Colorado",Clear Creek County,9136,67710,CO,Colorado
"Conejos County, Colorado",Conejos County,8249,36652,CO,Colorado
"Costilla County, Colorado",Costilla County,3581,31321,CO,Colorado
"Crowley County, Colorado",Crowley County,5551,31151,CO,Colorado
"Custer County, Colorado",Custer County,4303,35000,CO,Colorado
"Delta County, Colorado",Delta County,30214,42452,CO,Colorado
"Denver County, Colorado",Denver County,649654,53637,CO,Colorado
"Dolores County, Colorado",Dolores County,1862,31875,CO,Colorado
"Douglas County, Colorado",Douglas County,306974,102964,CO,Colorado
"Eagle County, Colorado",Eagle County,52576,72214,CO,Colorado
"Elbert County, Colorado",Elbert County,23855,84963,CO,Colorado
"El Paso County, Colorado",El Paso County,655024,58206,CO,Colorado
"Fremont County, Colorado",Fremont County,46809,40423,CO,Colorado
"Garfield County, Colorado",Garfield County,57076,56590,CO,Colorado
"Gilpin County, Colorado",Gilpin County,5605,65670,CO,Colorado
"Grand County, Colorado",Grand County,14411,63628,CO,Colorado
"Gunnison County, Colorado",Gunnison County,15651,48071,CO,Colorado
"Hinsdale County, Colorado",Hinsdale County,874,57083,CO,Colorado
"Huerfano County, Colorado",Huerfano County,6502,31715,CO,Colorado
"Jackson County, Colorado",Jackson County,1335,46014,CO,Colorado
"Jefferson County, Colorado",Jefferson County,552344,70164,CO,Colorado
"Kiowa County, Colorado",Kiowa County,1463,40304,CO,Colorado
"Kit Carson County, Colorado",Kit Carson County,7980,40603,CO,Colorado
"Lake County, Colorado",Lake County,7362,45367,CO,Colorado
"La Plata County, Colorado",La Plata County,53182,60278,CO,Colorado
"Larimer County, Colorado",Larimer County,318227,59805,CO,Colorado
"Las Animas County, Colorado",Las Animas County,14503,45067,CO,Colorado
"Lincoln County, Colorado",Lincoln County,5478,39005,CO,Colorado
"Logan County, Colorado",Logan County,21928,42319,CO,Colorado
"Mesa County, Colorado",Mesa County,147834,49322,CO,Colorado
"Mineral County, Colorado",Mineral County,733,48125,CO,Colorado
"Moffat County, Colorado",Moffat County,13117,51387,CO,Colorado
"Montezuma County, Colorado",Montezuma County,25700,43553,CO,Colorado
"Montrose County, Colorado",Montrose County,40815,43999,CO,Colorado
"Morgan County, Colorado",Morgan County,28359,48450,CO,Colorado
"Otero County, Colorado",Otero County,18572,32311,CO,Colorado
"Ouray County, Colorado",Ouray County,4580,61624,CO,Colorado
"Park County, Colorado",Park County,16189,56969,CO,Colorado
"Phillips County, Colorado",Phillips County,4371,43639,CO,Colorado
"Pitkin County, Colorado",Pitkin County,17420,71196,CO,Colorado
"Prowers County, Colorado",Prowers County,12235,40179,CO,Colorado
"Pueblo County, Colorado",Pueblo County,161519,41286,CO,Colorado
"Rio Blanco County, Colorado",Rio Blanco County,6712,61842,CO,Colorado
"Rio Grande County, Colorado",Rio Grande County,11745,39672,CO,Colorado
"Routt County, Colorado",Routt County,23606,64963,CO,Colorado
"Saguache County, Colorado",Saguache County,6238,33393,CO,Colorado
"San Juan County, Colorado",San Juan County,606,36324,CO,Colorado
"San Miguel County, Colorado",San Miguel County,7676,56047,CO,Colorado
"Sedgwick County, Colorado",Sedgwick County,2365,44191,CO,Colorado
"Summit County, Colorado",Summit County,28940,67983,CO,Colorado
"Teller County, Colorado",Teller County,23340,62372,CO,Colorado
"Washington County, Colorado",Washington County,4795,45541,CO,Colorado
"Weld County, Colorado",Weld County,270948,60572,CO,Colorado
"Yuma County, Colorado",Yuma County,10185,43105,CO,Colorado
"Fairfield County, Connecticut",Fairfield County,939983,84233,CT,Connecticut
"Hartford County, Connecticut",Hartford County,896943,66395,CT,Connecticut
"Litchfield County, Connecticut",Litchfield County,186304,72061,CT,Connecticut
"Middlesex County, Connecticut",Middlesex County,165165,79893,CT,Connecticut
"New Haven County, Connecticut",New Haven County,862224,61640,CT,Connecticut
"New London County, Connecticut",New London County,273185,66233,CT,Connecticut
"Tolland County, Connecticut",Tolland County,151948,79626,CT,Connecticut
"Windham County, Connecticut",Windham County,117470,59392,CT,Connecticut
"Kent County, Delaware",Kent County,169509,54976,DE,Delaware
"New Castle County, Delaware",New Castle County,549643,65476,DE,Delaware
"Sussex County, Delaware",Sussex County,207302,53751,DE,Delaware
"District of Columbia, District of Columbia",District of Columbia,647484,70848,DC,District of Columbia
"Alachua County, Florida",Alachua County,254218,43073,FL,Florida
"Baker County, Florida",Baker County,27135,47121,FL,Florida
"Bay County, Florida",Bay County,175353,47368,FL,Florida
"Bradford County, Florida",Bradford County,27223,41606,FL,Florida
"Brevard County, Florida",Brevard County,553591,48925,FL,Florida
"Broward County, Florida",Broward County,1843152,51968,FL,Florida
"Calhoun County, Florida",Calhoun County,14615,34510,FL,Florida
"Charlotte County, Florida",Charlotte County,165783,44244,FL,Florida
"Citrus County, Florida",Citrus County,139654,38312,FL,Florida
"Clay County, Florida",Clay County,197417,58290,FL,Florida
"Collier County, Florida",Collier County,341091,57452,FL,Florida
"Columbia County, Florida",Columbia County,67806,41926,FL,Florida
"DeSoto County, Florida",DeSoto County,34957,35165,FL,Florida
"Dixie County, Florida",Dixie County,16091,36292,FL,Florida
"Duval County, Florida",Duval County,890673,47690,FL,Florida
"Escambia County, Florida",Escambia County,306327,45390,FL,Florida
"Flagler County, Florida",Flagler County,100783,47866,FL,Florida
"Franklin County, Florida",Franklin County,11628,40401,FL,Florida
"Gadsden County, Florida",Gadsden County,46424,35567,FL,Florida
"Gilchrist County, Florida",Gilchrist County,16992,40623,FL,Florida
"Glades County, Florida",Glades County,13272,34877,FL,Florida
"Gulf County, Florida",Gulf County,15785,41788,FL,Florida
"Hamilton County, Florida",Hamilton County,14395,35048,FL,Florida
"Hardee County, Florida",Hardee County,27468,35457,FL,Florida
"Hendry County, Florida",Hendry County,38363,36771,FL,Florida
"Hernando County, Florida",Hernando County,174809,40945,FL,Florida
"Highlands County, Florida",Highlands County,98328,35093,FL,Florida
"Hillsborough County, Florida",Hillsborough County,1302884,50579,FL,Florida
"Holmes County, Florida",Holmes County,19635,35020,FL,Florida
"Indian River County, Florida",Indian River County,142866,45798,FL,Florida
"Jackson County, Florida",Jackson County,48900,35098,FL,Florida
"Jefferson County, Florida",Jefferson County,14198,43355,FL,Florida
"Lafayette County, Florida",Lafayette County,8801,35864,FL,Florida
"Lake County, Florida",Lake County,310561,46403,FL,Florida
"Lee County, Florida",Lee County,663675,48537,FL,Florida
"Leon County, Florida",Leon County,282940,46745,FL,Florida
"Levy County, Florida",Levy County,39821,35782,FL,Florida
"Liberty County, Florida",Liberty County,8295,39406,FL,Florida
"Madison County, Florida",Madison County,18729,32164,FL,Florida
"Manatee County, Florida",Manatee County,343729,49675,FL,Florida
"Marion County, Florida",Marion County,336811,39459,FL,Florida
"Martin County, Florida",Martin County,151586,51593,FL,Florida
"Miami-Dade County, Florida",Miami-Dade County,2639042,43129,FL,Florida
"Monroe County, Florida",Monroe County,75901,57290,FL,Florida
"Nassau County, Florida",Nassau County,75880,54116,FL,Florida
"Okaloosa County, Florida",Okaloosa County,192237,55880,FL,Florida
"Okeechobee County, Florida",Okeechobee County,39255,35405,FL,Florida
"Orange County, Florida",Orange County,1229039,47943,FL,Florida
"Osceola County, Florida",Osceola County,300870,44254,FL,Florida
"Palm Beach County, Florida",Palm Beach County,1378806,53363,FL,Florida
"Pasco County, Florida",Pasco County,479288,45064,FL,Florida
"Pinellas County, Florida",Pinellas County,931477,45819,FL,Florida
"Polk County, Florida",Polk County,626676,43162,FL,Florida
"Putnam County, Florida",Putnam County,72696,31715,FL,Florida
"St. Johns County, Florida",St. Johns County,210495,66194,FL,Florida
"St. Lucie County, Florida",St. Lucie County,288006,43459,FL,Florida
"Santa Rosa County, Florida",Santa Rosa County,161021,58923,FL,Florida
"Sarasota County, Florida",Sarasota County,392038,51766,FL,Florida
"Seminole County, Florida",Seminole County,437346,57010,FL,Florida
"Sumter County, Florida",Sumter County,108501,50350,FL,Florida
"Suwannee County, Florida",Suwannee County,43595,36289,FL,Florida
"Taylor County, Florida",Taylor County,22685,36181,FL,Florida
"Union County, Florida",Union County,15191,39163,FL,Florida
"Volusia County, Florida",Volusia County,503719,41117,FL,Florida
"Wakulla County, Florida",Wakulla County,31128,50340,FL,Florida
"Walton County, Florida",Walton County,59487,44966,FL,Florida
"Washington County, Florida",Washington County,24629,38970,FL,Florida
"Appling County, Georgia",Appling County,18417,37135,GA,Georgia
"Atkinson County, Georgia",Atkinson County,8294,30933,GA,Georgia
"Bacon County, Georgia",Bacon County,11222,37162,GA,Georgia
"Baker County, Georgia",Baker County,3292,44297,GA,Georgia
"Baldwin County, Georgia",Baldwin County,45795,32460,GA,Georgia
"Banks County, Georgia",Banks County,18336,41472,GA,Georgia
"Barrow County, Georgia",Barrow County,72012,52012,GA,Georgia
"Bartow County, Georgia",Bartow County,101336,48893,GA,Georgia
"Ben Hill County, Georgia",Ben Hill County,17477,29994,GA,Georgia
"Berrien County, Georgia",Berrien County,19019,31835,GA,Georgia
"Bibb County, Georgia",Bibb County,154816,36519,GA,Georgia
"Bleckley County, Georgia",Bleckley County,12746,38991,GA,Georgia
"Brantley County, Georgia",Brantley County,18452,37206,GA,Georgia
"Brooks County, Georgia",Brooks County,15637,32663,GA,Georgia
"Bryan County, Georgia",Bryan County,33151,63327,GA,Georgia
"Bulloch County, Georgia",Bulloch County,72386,36032,GA,Georgia
"Burke County, Georgia",Burke County,23007,33641,GA,Georgia
"Butts County, Georgia",Butts County,23445,41667,GA,Georgia
"Calhoun County, Georgia",Calhoun County,6489,25513,GA,Georgia
"Camden County, Georgia",Camden County,51445,52473,GA,Georgia
"Candler County, Georgia",Candler County,11031,30185,GA,Georgia
"Carroll County, Georgia",Carroll County,112595,43586,GA,Georgia
"Catoosa County, Georgia",Catoosa County,65375,50876,GA,Georgia
"Charlton County, Georgia",Charlton County,13130,42778,GA,Georgia
"Chatham County, Georgia",Chatham County,279290,47218,GA,Georgia
"Chattahoochee County, Georgia",Chattahoochee County,11914,43378,GA,Georgia
"Chattooga County, Georgia",Chattooga County,25241,32913,GA,Georgia
"Cherokee County, Georgia",Cherokee County,225944,68926,GA,Georgia
"Clarke County, Georgia",Clarke County,120905,32162,GA,Georgia
"Clay County, Georgia",Clay County,3104,20438,GA,Georgia
"Clayton County, Georgia",Clayton County,267234,40938,GA,Georgia
"Clinch County, Georgia",Clinch County,6791,24015,GA,Georgia
"Cobb County, Georgia",Cobb County,719133,65873,GA,Georgia
"Coffee County, Georgia",Coffee County,43003,33965,GA,Georgia
"Colquitt County, Georgia",Colquitt County,46024,32409,GA,Georgia
"Columbia County, Georgia",Columbia County,136204,71021,GA,Georgia
"Cook County, Georgia",Cook County,17033,35683,GA,Georgia
"Coweta County, Georgia",Coweta County,133416,62461,GA,Georgia
"Crawford County, Georgia",Crawford County,12539,41825,GA,Georgia
"Crisp County, Georgia",Crisp County,23314,31615,GA,Georgia
"Dade County, Georgia",Dade County,16445,46434,GA,Georgia
"Dawson County, Georgia",Dawson County,22673,56943,GA,Georgia
"Decatur County, Georgia",Decatur County,27378,31284,GA,Georgia
"DeKalb County, Georgia",DeKalb County,716331,51376,GA,Georgia
"Dodge County, Georgia",Dodge County,21180,34271,GA,Georgia
